State,Average ERW Score,Average Math Score,Average Total Score
Alabama,591,566,1157
Alaska,555,524,1079
Arizona,599,586,1185
Arkansas,612,575,1188
California,549,537,1086
Colorado,510,488,998
Connecticut,502,488,990
Delaware,484,464,948
District of Columbia,480,457,937
Florida,493,455,948
Georgia,532,507,1039
Hawaii,570,554,1124
Idaho,508,490,998
Illinois,491,476,966
Indiana,489,480,969
Iowa,606,589,1195
Kansas,633,623,1256
Kentucky,612,585,1197
Louisiana,611,584,1195
Maine,550,524,1074
Maryland,512,487,998
Massachusetts,559,550,1109
Michigan,492,473,965
Minnesota,608,607,1215
Mississippi,612,585,1197
Missouri,603,590,1193
Montana,613,592,1204
Nebraska,622,605,1227
Nevada,599,581,1180
New Hampshire,520,503,1023
New Jersey,531,519,1050
New Mexico,453,431,885
New York,522,513,1035
North Carolina,590,571,1161
North Dakota,624,605,1229
Ohio,516,509,1025
Oklahoma,495,470,966
Oregon,572,546,1117
Pennsylvania,546,529,1075
Puerto Rico,514,466,980
Rhode Island,488,465,954
South Carolina,521,494,1015
South Dakota,613,602,1214
Tennessee,607,584,1191
Texas,495,477,971
Utah,622,609,1230
Vermont,562,535,1097
Virginia,564,537,1101
Washington,549,531,1081
West Virginia,477,442,919
Wisconsin,610,610,1221
Wyoming,636,616,1253
