State,% of students taking the SAT,# of Test Takers,ERW,Math,Total
Alabama,3%,"1,517",591,566,1157
Alaska,32%,"2,625",555,524,1079
Arizona,10%,"8,367",599,586,1185
Arkansas,2%,733,612,575,1188
California,24%,"120,205",549,537,1086
Colorado,90%,"64,680",510,488,998
Connecticut,98%,"42,020",502,488,990
Delaware,97%,"10,880",484,464,948
District of Columbia,100%,"4,580",480,457,937
Florida,95%,"240,930",493,455,948
Georgia,56%,"69,136",532,507,1039
Hawaii,27%,"4,202",570,554,1124
Idaho,76%,"17,603",508,490,998
Illinois,96%,"141,846",491,476,966
Indiana,100%,"80,008",489,480,969
Iowa,12%,"5,037",606,589,1195
Kansas,2%,734,633,623,1256
Kentucky,2%,962,616,592,1208
Louisiana,2%,"1,117",611,584,1195
Maine,38%,"5,545",550,524,1074
Maryland,70%,"52,851",512,487,998
Massachusetts,55%,"43,398",559,550,1109
Michigan,96%,"103,396",492,473,965
Minnesota,3%,"2,146",608,607,1215
Mississippi,1%,382,612,585,1197
Missouri,3%,"2,190",603,590,1193
Montana,4%,426,613,592,1204
Nebraska,1%,320,622,605,1227
Nevada,6%,"2,028",599,581,1180
New Hampshire,82%,"12,327",520,503,1023
New Jersey,66%,"77,320",531,519,1050
New Mexico,100%,"23,071",453,431,885
New York,61%,"127,993",522,513,1035
North Carolina,20%,"23,495",590,571,1161
North Dakota,1%,58,624,605,1229
Ohio,21%,"27,389",516,509,1025
Oklahoma,9%,"4,339",495,470,966
Oregon,23%,"9,847",572,546,1117
Pennsylvania,46%,"67,012",546,529,1075
Puerto Rico,not provided,"3,177",514,466,980
Rhode Island,99%,"11,275",488,465,954
South Carolina,51%,"28,563",521,494,1015
South Dakota,1%,150,613,602,1214
Tennessee,4%,"3,325",607,584,1191
Texas,73%,"291,694",495,477,971
Utah,2%,771,622,609,1230
Vermont,43%,"2,720",562,535,1097
Virginia,51%,"49,361",564,537,1101
"Virgin Islands, US",not provided,503,498,450,948
Washington,37%,"29,189",549,531,1081
West Virginia,89%,"15,683",477,442,919
Wisconsin,2%,"1,301",610,610,1221
Wyoming,1%,84,636,616,1253
