State,% of students taking the SAT,# of Test Takers,Average Composite Score
Alabama,3%,"1,517",1160
Alaska,32%,"2,625",1080
Arizona,10%,"8,367",1190
Arkansas,2%,733,1190
California,24%,"120,205",1090
Colorado,90%,"58,078",1000
Connecticut,98%,"42,020",990
Delaware,97%,"10,880",950
District of Columbia,100%,"6,535",940
Florida,95%,"229,784",950
Georgia,56%,"69,136",1040
Hawaii,27%,"4,202",1120
Idaho,76%,"17,603",1000
Illinois,96%,"141,846",970
Indiana,100%,"80,008",970
Iowa,2%,916,1200
Kansas,2%,734,1260
Kentucky,2%,962,1200
Louisiana,2%,"1,117",1200
Maine,38%,"5,545",1070
Maryland,70%,"52,851",1000
Massachusetts,55%,"43,398",1110
Michigan,96%,"103,396",970
Minnesota,3%,"2,146",1220
Mississippi,1%,382,1200
Missouri,3%,"2,190",1190
Montana,4%,426,1200
Nebraska,1%,320,1230
Nevada,6%,"2,028",1180
New Hampshire,82%,"12,327",1020
New Jersey,66%,"77,320",1050
New Mexico,100%,"23,071",890
New York,61%,"127,993",1040
North Carolina,20%,"23,495",1160
North Dakota,1%,58,1230
Ohio,21%,"27,389",1030
Oklahoma,9%,"4,339",970
Oregon,23%,"9,847",1120
Pennsylvania,46%,"67,012",1080
Rhode Island,99%,"11,275",950
South Carolina,51%,"28,563",1020
South Dakota,1%,150,1210
Tennessee,4%,"3,325",1190
Texas,73%,"291,694",970
Utah,2%,771,1230
Vermont,43%,"2,720",1100
Virginia,51%,"49,631",1100
Washington,37%,"29,189",1080
West Virginia,89%,"15,683",920
Wisconsin,2%,"1,301",1220
Wyoming,1%,84,1250
